Name,URL,Date of Birth,Height,Position,Club
Cristiano Ronaldo,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,1985-02-05,1.87 m (6 ft 2 in)[note 1],Forward,Al Nassr
Lional Messi,https://en.wikipedia.org/wiki/Lional_Messi,,,,
