Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City,First_Team_Goals,Second_Team_Goals
bolivia, Spain,1.0,3.0,NO,caminero,66,Away Win,1994-06-27,No_Time_Available,Soldier Field,Chicago,630890.0,Rodrigo Badilla,Costa Rica,E. Sánchez  67',"Guardiola  19' (pen.); pen.  66', 70'; Caminero"
argentina, Greece,4.0,0.0,NO,maradona,60,Home Win,1994-06-21,No_Time_Available,Foxboro Stadium,Foxborough,544560.0,Arturo Angeles,United States,"Batistuta  2', 44', 90' (pen.); pen.  60'; Maradona",0
bulgaria, Greece,4.0,0.0,NO,letchkov,65,Home Win,1994-06-26,No_Time_Available,Soldier Field,Chicago,631600.0,Ali Bujsaim,United Arab Emirates,"Stoichkov  5' (pen.), 55' (pen.); pen.  65'; pen.  90'; Letchkov ; Borimirov",0
bulgaria, Greece,4.0,0.0,NO,borimirov,90,Home Win,1994-06-26,No_Time_Available,Soldier Field,Chicago,631600.0,Ali Bujsaim,United Arab Emirates,"Stoichkov  5' (pen.), 55' (pen.); pen.  65'; pen.  90'; Letchkov ; Borimirov",0
saudi arabia, Morocco,2.0,1.0,NO,anwar,45,Home Win,1994-06-25,No_Time_Available,Giants Stadium,East Rutherford,763220.0,Philip Don,England,Al-Jaber  7' (pen.); pen.  45'; Anwar,Chaouch  26'
romania, Argentina,3.0,2.0,NO,balbo,75,Home Win,1994-07-03,No_Time_Available,Rose Bowl,Pasadena,904690.0,Pierluigi Pairetto,Italy,"Dumitrescu  11', 18'; Hagi  58'",Batistuta  16' (pen.); pen.  75'; Balbo
france, Denmark,2.0,1.0,NO,petit,56,Home Win,1998-06-24,16:00:00,Stade Gerland,Lyon,391000.0,Pierluigi Collina,Italy,Djorkaeff  12' (pen.); pen.  56'; Petit,M. Laudrup  42' (pen.); pen.
south africa, Saudi Arabia,2.0,2.0,NO,al-thunayan,74,Draw,1998-06-24,16:00:00,Parc Lescure,Bordeaux,318000.0,Mario Sánchez,Chile,"Bartlett  18', 90+3' (pen.); pen.",Al-Jaber  45+2' (pen.); pen.  74' (pen.); Al-Thunayan ; pen.
spain, Bulgaria,6.0,1.0,NO,luis enrique,18,Home Win,1998-06-24,21:00:00,Stade Félix-Bollaert,Lens,381000.0,Mario van der Ende,Netherlands,"Hierro  6' (pen.); pen.  18'; Luis Enrique  55', 81'; Morientes  88' (o.g.); Bachev  90+4'; o.g. ; Kiko",Kostadinov  58'
belgium, Mexico,2.0,2.0,NO,blanco,62,Draw,1998-06-20,17:30:00,Parc Lescure,Bordeaux,318000.0,Hugh Dallas,Scotland,"Wilmots  42', 47'",García Aspe  55' (pen.); pen.  62'; Blanco
argentina, England,2.0,2.0,4–3,zanetti,45,Draw,1998-06-30,21:00:00,Stade Geoffroy-Guichard,Saint-Étienne,306000.0,Kim Milton Nielsen,Denmark,Batistuta  5' (pen.); pen.  45+1'; Zanetti,Shearer  9' (pen.); pen.  16'; Owen
argentina, England,2.0,2.0,4–3,owen,16,Draw,1998-06-30,21:00:00,Stade Geoffroy-Guichard,Saint-Étienne,306000.0,Kim Milton Nielsen,Denmark,Batistuta  5' (pen.); pen.  45+1'; Zanetti,Shearer  9' (pen.); pen.  16'; Owen
senegal, Uruguay,3.0,3.0,NO,bouba diop,26,Draw,2002-06-11,15:30:00,Suwon World Cup Stadium,Suwon,336810.0,Jan Wegereef,Netherlands,"Fadiga  20' (pen.); pen.  26', 38'; Bouba Diop",Morales  46'; Forlán  69'; Recoba  88' (pen.); pen.
brazil, China,4.0,0.0,NO,ronaldo,55,Home Win,2002-06-08,20:30:00,Jeju World Cup Stadium,Seogwipo,367500.0,Anders Frisk,Sweden,Roberto Carlos  15'; Rivaldo  32'; Ronaldinho  45' (pen.); pen.  55'; Ronaldo,0
