Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
yugoslavia, Colombia,5.0,0.0,NO,Melić,82,Home Win,1962-06-07,15:00:00,Estadio Carlos Dittborn,Arica,71670.0,Carlos Robles,Chile
chile,  Switzerland,3.0,1.0,NO,L. Sánchez,44,Home Win,1962-05-30,15:00:00,Estadio Nacional,Santiago,650060.0,Kenneth Aston,England
chile,  Switzerland,3.0,1.0,NO,Ramírez,51,Home Win,1962-05-30,15:00:00,Estadio Nacional,Santiago,650060.0,Kenneth Aston,England
chile,  Switzerland,3.0,1.0,NO,Wüthrich,6,Home Win,1962-05-30,15:00:00,Estadio Nacional,Santiago,650060.0,Kenneth Aston,England
chile, Italy,2.0,0.0,NO,Ramírez,73,Home Win,1962-06-02,15:00:00,Estadio Nacional,Santiago,660570.0,Kenneth Aston,England
chile, Italy,2.0,0.0,NO,Toro,87,Home Win,1962-06-02,15:00:00,Estadio Nacional,Santiago,660570.0,Kenneth Aston,England
west germany,  Switzerland,2.0,1.0,NO,Brülls,45,Home Win,1962-06-03,15:00:00,Estadio Nacional,Santiago,649220.0,Leo Horn,Netherlands
west germany,  Switzerland,2.0,1.0,NO,Seeler,59,Home Win,1962-06-03,15:00:00,Estadio Nacional,Santiago,649220.0,Leo Horn,Netherlands
west germany,  Switzerland,2.0,1.0,NO,Schneiter,73,Home Win,1962-06-03,15:00:00,Estadio Nacional,Santiago,649220.0,Leo Horn,Netherlands
west germany, Chile,2.0,0.0,NO,Szymaniak,21,Home Win,1962-06-06,15:00:00,Estadio Nacional,Santiago,672240.0,Robert Holley Davidson,Scotland
west germany, Chile,2.0,0.0,NO,pen.,82,Home Win,1962-06-06,15:00:00,Estadio Nacional,Santiago,672240.0,Robert Holley Davidson,Scotland
italy,  Switzerland,3.0,0.0,NO,Mora,2,Home Win,1962-06-07,15:00:00,Estadio Nacional,Santiago,598280.0,Nikolay Latyshev,Soviet Union
italy,  Switzerland,3.0,0.0,NO,Bulgarelli,65,Home Win,1962-06-07,15:00:00,Estadio Nacional,Santiago,598280.0,Nikolay Latyshev,Soviet Union
brazil, Mexico,2.0,0.0,NO,Zagallo,56,Home Win,1962-05-30,15:00:00,Estadio Sausalito,Viña del Mar,104840.0,Gottfried Dienst,Switzerland
brazil, Mexico,2.0,0.0,NO,Pelé,73,Home Win,1962-05-30,15:00:00,Estadio Sausalito,Viña del Mar,104840.0,Gottfried Dienst,Switzerland
czechoslovakia, Spain,1.0,0.0,NO,Štibrányi,80,Home Win,1962-05-31,15:00:00,Estadio Sausalito,Viña del Mar,127000.0,Carl Erich Steiner,Austria
spain, Mexico,1.0,0.0,NO,Peiró,90,Home Win,1962-06-03,15:00:00,Estadio Sausalito,Viña del Mar,118750.0,Branko Tesanić,Yugoslavia
brazil, Spain,2.0,1.0,NO,Amarildo,72,Home Win,1962-06-06,15:00:00,Estadio Sausalito,Viña del Mar,187150.0,Sergio Bustamante,Chile
brazil, Spain,2.0,1.0,NO,Adelardo,35,Home Win,1962-06-06,15:00:00,Estadio Sausalito,Viña del Mar,187150.0,Sergio Bustamante,Chile
mexico, Czechoslovakia,3.0,1.0,NO,Díaz,12,Home Win,1962-06-07,15:00:00,Estadio Sausalito,Viña del Mar,106480.0,Gottfried Dienst,Switzerland
mexico, Czechoslovakia,3.0,1.0,NO,Del Águila,29,Home Win,1962-06-07,15:00:00,Estadio Sausalito,Viña del Mar,106480.0,Gottfried Dienst,Switzerland
mexico, Czechoslovakia,3.0,1.0,NO,Hernández,90,Home Win,1962-06-07,15:00:00,Estadio Sausalito,Viña del Mar,106480.0,Gottfried Dienst,Switzerland
