Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
australia, West Germany,0.0,3.0,NO,Müller,53,Away Win,1974-06-18,16:00:00,Volksparkstadion,Hamburg,530000.0,Mahmoud Mustafa Kamel,Egypt
chile, East Germany,1.0,1.0,NO,Ahumada,69,Draw,1974-06-18,19:30:00,Olympiastadion,West Berlin,283000.0,Aurelio Angonese,Italy
chile, East Germany,1.0,1.0,NO,Hoffmann,55,Draw,1974-06-18,19:30:00,Olympiastadion,West Berlin,283000.0,Aurelio Angonese,Italy
east germany, West Germany,1.0,0.0,NO,Sparwasser,77,Home Win,1974-06-22,19:30:00,Volksparkstadion,Hamburg,602000.0,Ramón Barreto Ruíz,Uruguay
zaire, Scotland,0.0,2.0,NO,Lorimer,26,Away Win,1974-06-14,19:30:00,Westfalenstadion,Dortmund,258000.0,Gerhard Schulenburg,West Germany
zaire, Scotland,0.0,2.0,NO,Jordan,34,Away Win,1974-06-14,19:30:00,Westfalenstadion,Dortmund,258000.0,Gerhard Schulenburg,West Germany
yugoslavia, Zaire,9.0,0.0,NO,Bajević,8,Home Win,1974-06-18,19:30:00,Parkstadion,Gelsenkirchen,317000.0,Omar Delgado Gómez,Colombia
yugoslavia, Zaire,9.0,0.0,NO,Džajić,14,Home Win,1974-06-18,19:30:00,Parkstadion,Gelsenkirchen,317000.0,Omar Delgado Gómez,Colombia
yugoslavia, Zaire,9.0,0.0,NO,Šurjak,18,Home Win,1974-06-18,19:30:00,Parkstadion,Gelsenkirchen,317000.0,Omar Delgado Gómez,Colombia
yugoslavia, Zaire,9.0,0.0,NO,Katalinski,22,Home Win,1974-06-18,19:30:00,Parkstadion,Gelsenkirchen,317000.0,Omar Delgado Gómez,Colombia
yugoslavia, Zaire,9.0,0.0,NO,Bogićević,35,Home Win,1974-06-18,19:30:00,Parkstadion,Gelsenkirchen,317000.0,Omar Delgado Gómez,Colombia
