Home_Team,Score,Away_Team,Penalties,First_Team_Goals,Second_Team_Goals,Date,Time,Stadium,City,Attendance,Referee,Referee_City,Player_Name,Goal_Time,Home_Score,Away_Score,Outcome
sweden,3–1, Russia,NO,"Brolin  39' (pen.); pen.  60', 82'; Dahlin",Salenko  4' (pen.); pen.,1994-06-24,,Pontiac Silverdome,Pontiac,715280.0,Joël Quiniou,France,Brolin,39,3.0,1.0,Home Win
sweden,3–1, Russia,NO,"Brolin  39' (pen.); pen.  60', 82'; Dahlin",Salenko  4' (pen.); pen.,1994-06-24,,Pontiac Silverdome,Pontiac,715280.0,Joël Quiniou,France,pen.,60,3.0,1.0,Home Win
sweden,3–1, Russia,NO,"Brolin  39' (pen.); pen.  60', 82'; Dahlin",Salenko  4' (pen.); pen.,1994-06-24,,Pontiac Silverdome,Pontiac,715280.0,Joël Quiniou,France,Salenko,4,3.0,1.0,Home Win
russia,6–1, Cameroon,NO,"Salenko  15', 41', 44' (pen.), 72', 75'; pen.  81'; Radchenko",Milla  46',1994-06-28,,Stanford Stadium,Stanford,749140.0,Jamal Al Sharif,Syria,Salenko,15,6.0,1.0,Home Win
russia,6–1, Cameroon,NO,"Salenko  15', 41', 44' (pen.), 72', 75'; pen.  81'; Radchenko",Milla  46',1994-06-28,,Stanford Stadium,Stanford,749140.0,Jamal Al Sharif,Syria,pen.,81,6.0,1.0,Home Win
russia,6–1, Cameroon,NO,"Salenko  15', 41', 44' (pen.), 72', 75'; pen.  81'; Radchenko",Milla  46',1994-06-28,,Stanford Stadium,Stanford,749140.0,Jamal Al Sharif,Syria,Milla,46,6.0,1.0,Home Win
brazil,1–1, Sweden,NO,Romário  47',K. Andersson  23',1994-06-28,,Pontiac Silverdome,Pontiac,772170.0,Sándor Puhl,Hungary,Romário,47,1.0,1.0,Draw
brazil,1–1, Sweden,NO,Romário  47',K. Andersson  23',1994-06-28,,Pontiac Silverdome,Pontiac,772170.0,Sándor Puhl,Hungary,K. Andersson,23,1.0,1.0,Draw
germany,1–0, Bolivia,NO,Klinsmann  61',0,1994-06-17,,Soldier Field,Chicago,631170.0,Arturo Brizio Carter,Mexico,Klinsmann,61,1.0,0.0,Home Win
spain,2–2, South Korea,NO,Salinas  51'; Goikoetxea  55',Hong Myung-bo  85'; Seo Jung-won  90',1994-06-17,,Cotton Bowl,Dallas,562470.0,Peter Mikkelsen,Denmark,Salinas,51,2.0,2.0,Draw
spain,2–2, South Korea,NO,Salinas  51'; Goikoetxea  55',Hong Myung-bo  85'; Seo Jung-won  90',1994-06-17,,Cotton Bowl,Dallas,562470.0,Peter Mikkelsen,Denmark,Goikoetxea,55,2.0,2.0,Draw
spain,2–2, South Korea,NO,Salinas  51'; Goikoetxea  55',Hong Myung-bo  85'; Seo Jung-won  90',1994-06-17,,Cotton Bowl,Dallas,562470.0,Peter Mikkelsen,Denmark,Hong Myung-bo,85,2.0,2.0,Draw
spain,2–2, South Korea,NO,Salinas  51'; Goikoetxea  55',Hong Myung-bo  85'; Seo Jung-won  90',1994-06-17,,Cotton Bowl,Dallas,562470.0,Peter Mikkelsen,Denmark,Seo Jung-won,90,2.0,2.0,Draw
germany,1–1, Spain,NO,Klinsmann  48',Goikoetxea  14',1994-06-21,,Soldier Field,Chicago,631130.0,Filippi Cavani,Uruguay,Klinsmann,48,1.0,1.0,Draw
